Protein_ID,Superfamily,Family,Subfamily
A0A024RDL1,,No SIMILARITY comment found,
A0A024RDQ8,,No SIMILARITY comment found,
A0A024RDS1,,No SIMILARITY comment found,
A0A024RDV7,,No SIMILARITY comment found,
A0A024RDV9,,No SIMILARITY comment found,
A0A024RDY0,,No SIMILARITY comment found,
A0A059RUZ1,,cytochrome c oxidase subunit 2 family,
A0A068F7M9,,No SIMILARITY comment found,
A0A075B6F9,,NOSIP family,
A0A075B6P5,,No SIMILARITY comment found,
A0A075B6R9,,No SIMILARITY comment found,
A0A075B6S6,,No SIMILARITY comment found,
A0A075B734,,8) family,
A0A075B759,,cyclophilin-type PPIase family,PPIase A subfamily
A0A075B767,,cyclophilin-type PPIase family,PPIase A subfamily
A0A075B7D9,,No SIMILARITY comment found,
A0A087WSW0,,No SIMILARITY comment found,
A0A087WT00,,No SIMILARITY comment found,
A0A087WT10,,somatostatin family,
A0A087WTH5,,No SIMILARITY comment found,
A0A087WTN9,,annexin family,
A0A087WTT1,,polyadenylate-binding protein type-1 family,
A0A087WU53,,OST3/OST6 family,
A0A087WUB9,,No SIMILARITY comment found,
A0A087WUF9,,23) family,
A0A087WUH9,protein kinase superfamily,Ser/Thr protein kinase family,CDC5/Polo subfamily
A0A087WUI4,,No SIMILARITY comment found,
A0A087WUI6,,No SIMILARITY comment found,
A0A087WUL8,,NBPF family,
A0A087WUT6,,No SIMILARITY comment found,
A0A087WUV0,,krueppel C2H2-type zinc-finger protein family,
A0A087WUY2,,No SIMILARITY comment found,
A0A087WUY7,,PIAS family,
A0A087WUZ3,,No SIMILARITY comment found,
A0A087WV05,,AMY1 family,
A0A087WVF3,,No SIMILARITY comment found,
A0A087WVQ6,,clathrin heavy chain family,
A0A087WVT8,,No SIMILARITY comment found,
A0A087WVU4,,NBPF family,
A0A087WW66,,proteasome subunit S1 family,
A0A087WWA1,,No SIMILARITY comment found,
A0A087WWB2,,No SIMILARITY comment found,
A0A087WWF6,,DNA polymerase delta/II small subunit family,
A0A087WWG3,,SIMIBI class G3E GTPase family,ZNG1 subfamily
A0A087WWI0,,No SIMILARITY comment found,
A0A087WWM0,,TRAPP small subunits family,BET3 subfamily
A0A087WWM6,,proline oxidase family,
A0A087WWS6,,alpha/beta interferon family,
A0A087WWV3,,No SIMILARITY comment found,
A0A087WWY3,,filamin family,
A0A087WXG3,,No SIMILARITY comment found,
A0A087WXI2,,No SIMILARITY comment found,
A0A087WXM6,,universal ribosomal protein uL22 family,
A0A087WXM9,,No SIMILARITY comment found,
A0A087WXS9,,No SIMILARITY comment found,
A0A087WY31,,YTHDF family,
A0A087WYL7,,Mediator complex subunit 6 family,
A0A087WYR3,,TPD52 family,
A0A087WYV9,,COX16 family,
A0A087WYZ4,,glycoprotein hormones subunit alpha family,
A0A087WZ13,,No SIMILARITY comment found,
A0A087WZ82,,FXYD family,
A0A087WZE9,,HMGN family,
A0A087WZG4,,No SIMILARITY comment found,
A0A087WZN1,,isocitrate and isopropylmalate dehydrogenases family,
A0A087WZT3,,No SIMILARITY comment found,
A0A087WZU1,,No SIMILARITY comment found,
A0A087WZY1,,No SIMILARITY comment found,
A0A087X089,,intercrine beta (chemokine CC) family,
A0A087X0H9,,No SIMILARITY comment found,
A0A087X0K4,,No SIMILARITY comment found,
A0A087X0R0,,UTX family,
A0A087X0U3,,23) family,
A0A087X0X3,,No SIMILARITY comment found,
A0A087X179,,No SIMILARITY comment found,
A0A087X1B8,,No SIMILARITY comment found,
A0A087X1N8,,serpin family,
A0A087X1Q1,,p53 family,
A0A087X1W8,,No SIMILARITY comment found,
A0A087X1Z3,,PA28 family,
A0A087X295,,WD repeat WDR6 family,
A0A087X2D0,,No SIMILARITY comment found,
A0A087X2D5,,mitochondrion-specific ribosomal protein mL45 family,
A0A087X2H1,,UPL family,K-HECT subfamily
A0A087X2I1,,AAA ATPase family,
A0A088AWK7,,No SIMILARITY comment found,
A0A090N7U0,,cullin family,
A0A090N7Y2,ABC transporter superfamily,ABCF family,EF3 subfamily
A0A096LNH4,,synaptotagmin family,
A0A096LNW4,,PRAME family,
A0A096LNW5,,NOTCH family,
A0A096LP01,,SMIM26 family,
A0A096LP39,,No SIMILARITY comment found,
A0A096LP49,,No SIMILARITY comment found,
A0A096LP55,,UQCRH/QCR6 family,
A0A096LPE2,,SAA family,
A0A0A0MQS1,,pyrroline-5-carboxylate reductase family,
A0A0A0MQY9,,No SIMILARITY comment found,
A0A0A0MQZ8,,No SIMILARITY comment found,
A0A0A0MR02,,eukaryotic mitochondrial porin family,
A0A0A0MR05,,WD repeat LST8 family,
A0A0A0MR37,,No SIMILARITY comment found,
A0A0A0MR51,,No SIMILARITY comment found,
A0A0A0MR80,,No SIMILARITY comment found,
A0A0A0MRF8,,universal ribosomal protein uL22 family,
A0A0A0MRG9,,No SIMILARITY comment found,
A0A0A0MRI2,,sorting nexin family,
A0A0A0MRK5,,No SIMILARITY comment found,
A0A0A0MRM8,TRAFAC class myosin-kinesin ATPase superfamily,Myosin family,
A0A0A0MRM9,,No SIMILARITY comment found,
A0A0A0MS16,,No SIMILARITY comment found,
A0A0A0MS77,,No SIMILARITY comment found,
A0A0A0MSE2,,3-hydroxyacyl-CoA dehydrogenase family,
A0A0A0MSI0,,peroxiredoxin family,AhpC/Prx1 subfamily
A0A0A0MSU8,,bZIP family,
A0A0A0MT83,,acyl-CoA dehydrogenase family,
A0A0A0MTK1,,krueppel C2H2-type zinc-finger protein family,
A0A0A0MTN0,,cullin family,
A0A0A6YY99,,tumor necrosis factor family,
A0A0A6YYB9,,TVP23 family,
A0A0A6YYG9,,No SIMILARITY comment found,
A0A0A6YYH1,,Arpin family,
A0A0A6YYJ5,,No SIMILARITY comment found,
A0A0A6YYJ8,,Luc7 family,
A0A0A6YYJ9,,60) family,
A0A0A6YYK5,,No SIMILARITY comment found,
A0A0A6YYL0,,EMC6 family,
A0A0A6YYL1,,5-formyltetrahydrofolate cyclo-ligase family,
A0A0A6YYL4,,WD repeat coronin family,
A0A0A6YYL6,,universal ribosomal protein uL22 family,
A0A0B4J1S8,,PI3/PI4-kinase family,Type III PI4K subfamily
A0A0B4J1T7,,No SIMILARITY comment found,
A0A0B4J1V0,,No SIMILARITY comment found,
A0A0B4J1V8,,G-protein coupled receptor 1 family,
A0A0B4J1V9,,No SIMILARITY comment found,
A0A0B4J1W0,,Mediator complex subunit 24 family,
A0A0B4J1W7,,NPIP family,
A0A0B4J1Y2,,TTC21 family,
A0A0B4J1Z1,,No SIMILARITY comment found,
A0A0B4J210,,No SIMILARITY comment found,
A0A0B4J233,calycin superfamily,Fatty-acid binding protein (FABP) family,
A0A0B4J269,,tubulin family,
A0A0B4J295,,BolA/IbaG family,
A0A0B4J2A2,,cyclophilin-type PPIase family,PPIase A subfamily
A0A0B4J2C3,,TCTP family,
A0A0B4J2D5,,No SIMILARITY comment found,
A0A0B4J2F0,,No SIMILARITY comment found,
A0A0B4J2F2,,No SIMILARITY comment found,
A0A0B4J2F6,,NPIP family,
A0A0C3SFZ9,,FCHO family,
A0A0C4DFN3,,No SIMILARITY comment found,
A0A0C4DFT7,,glycophorin A family,
A0A0C4DFT8,,No SIMILARITY comment found,
A0A0C4DFX9,,No SIMILARITY comment found,
A0A0C4DFY0,,No SIMILARITY comment found,
A0A0C4DFY5,,G-protein coupled receptor 3 family,
A0A0C4DG17,,universal ribosomal protein uS2 family,
A0A0C4DG38,,No SIMILARITY comment found,
A0A0C4DG49,,No SIMILARITY comment found,
A0A0C4DG62,,ARL6IP4 family,
A0A0C4DG89,,No SIMILARITY comment found,
A0A0C4DG91,,NDK family,
A0A0C4DG94,,No SIMILARITY comment found,
A0A0C4DGE4,,syntaxin family,
A0A0C4DGF1,,No SIMILARITY comment found,
A0A0C4DGG7,,No SIMILARITY comment found,
A0A0C4DGG9,,SNF2/RAD54 helicase family,
A0A0C4DGH0,immunoglobulin superfamily,BTN/MOG family,
A0A0C4DGJ5,,patched family,
A0A0C4DGM4,,aminoglycoside phosphotransferase family,
A0A0C4DGQ3,,krueppel C2H2-type zinc-finger protein family,
A0A0C4DGQ7,,No SIMILARITY comment found,
A0A0C4DGT3,,BRAG family,
A0A0C4DGU3,,No SIMILARITY comment found,
A0A0C4DGW0,,No SIMILARITY comment found,
A0A0C4DGX9,,No SIMILARITY comment found,
A0A0C4DH22,,No SIMILARITY comment found,
A0A0D9SEI5,,No SIMILARITY comment found,
A0A0D9SEM4,,No SIMILARITY comment found,
A0A0D9SEY1,protein kinase superfamily,STE Ser/Thr protein kinase family,STE20 subfamily
A0A0D9SF53,,DEAD box helicase family,
A0A0D9SF54,,spectrin family,
A0A0D9SFB3,,DEAD box helicase family,
A0A0D9SGE8,,No SIMILARITY comment found,
A0A0D9SGF6,,spectrin family,
A0A0F7KYT8,,FMR1 family,
A0A0G2JHK4,,No SIMILARITY comment found,
A0A0G2JIS2,,No SIMILARITY comment found,
A0A0G2JIW1,,heat shock protein 70 family,
A0A0G2JJL1,,No SIMILARITY comment found,
A0A0G2JK23,,No SIMILARITY comment found,
A0A0G2JK44,,BET family,
A0A0G2JM12,,casein kinase 2 subunit beta family,
A0A0G2JM88,,AccD/PCCB family,
A0A0G2JMU2,,POTE family,
A0A0G2JNH3,,G-protein coupled receptor 1 family,
A0A0G2JNW7,,SLC12A transporter family,K/Cl co-transporter subfamily
A0A0G2JPP5,,LAP (LRR and PDZ) protein family,
A0A0G2JPW3,,No SIMILARITY comment found,
A0A0G2JQH2,,No SIMILARITY comment found,
A0A0G2JRS5,,BTG family,
A0A0G2JRY5,,TAF4 family,
A0A0J9YVP6,,No SIMILARITY comment found,
A0A0J9YX62,,No SIMILARITY comment found,
A0A0J9YYA3,,No SIMILARITY comment found,
A0A0J9YYL3,,No SIMILARITY comment found,
A0A0K0K1K4,,peptidase T1A family,
A0A0K0K1K7,,glucosamine/galactosamine-6-phosphate isomerase family,6-phosphogluconolactonase subfamily
A0A0K2S4Q6,,CD300 family,
A0A0M4G3H8,,glycogen debranching enzyme family,
A0A0S2Z2Z3,,No SIMILARITY comment found,
A0A0S2Z328,,BBS4 family,
A0A0S2Z364,,No SIMILARITY comment found,
A0A0S2Z377,,annexin family,
A0A0S2Z3D2,,Bcl-2 family,
A0A0S2Z3D6,,No SIMILARITY comment found,
A0A0S2Z3E6,,peptidase C2 family,
A0A0S2Z3E8,,No SIMILARITY comment found,
A0A0S2Z3E9,,No SIMILARITY comment found,
A0A0S2Z3G1,,No SIMILARITY comment found,
A0A0S2Z3G3,,29) family,
A0A0S2Z3G9,,alpha-actinin family,
A0A0S2Z3H3,,29) family,
A0A0S2Z3K0,,No SIMILARITY comment found,
A0A0S2Z3L2,,3) family,Type IIA subfamily
A0A0S2Z3N5,,No SIMILARITY comment found,
A0A0S2Z3N6,,No SIMILARITY comment found,
A0A0S2Z3P2,,No SIMILARITY comment found,
A0A0S2Z3Q4,,CRK family,
A0A0S2Z3R2,,No SIMILARITY comment found,
A0A0S2Z3S1,,No SIMILARITY comment found,
A0A0S2Z3T7,,No SIMILARITY comment found,
A0A0S2Z3U4,,EGR C2H2-type zinc-finger protein family,
A0A0S2Z3V1,,fibulin family,
A0A0S2Z3X1,,No SIMILARITY comment found,
A0A0S2Z3Y6,,No SIMILARITY comment found,
A0A0S2Z3Z3,,No SIMILARITY comment found,
A0A0S2Z404,,No SIMILARITY comment found,
A0A0S2Z408,,No SIMILARITY comment found,
A0A0S2Z410,,short-chain dehydrogenases/reductases (SDR) family,
A0A0S2Z428,,intermediate filament family,
A0A0S2Z442,,No SIMILARITY comment found,
A0A0S2Z470,,No SIMILARITY comment found,
A0A0S2Z471,,ATP:guanido phosphotransferase family,
A0A0S2Z489,,proteasome subunit p55 family,
A0A0S2Z491,,nucleoplasmin family,
A0A0S2Z4A5,,MCM family,
A0A0S2Z4A7,,No SIMILARITY comment found,
A0A0S2Z4B3,,No SIMILARITY comment found,
A0A0S2Z4D7,,No SIMILARITY comment found,
A0A0S2Z4D9,,No SIMILARITY comment found,
A0A0S2Z4E4,,No SIMILARITY comment found,
A0A0S2Z4E5,,No SIMILARITY comment found,
A0A0S2Z4F2,,No SIMILARITY comment found,
A0A0S2Z4G4,,tropomyosin family,
A0A0S2Z4G9,,No SIMILARITY comment found,
A0A0S2Z4H3,,No SIMILARITY comment found,
A0A0S2Z4I0,,No SIMILARITY comment found,
A0A0S2Z4J1,,short-chain dehydrogenases/reductases (SDR) family,
A0A0S2Z4M0,,NDK family,
A0A0S2Z4M1,,No SIMILARITY comment found,
A0A0S2Z4M5,,nuclear hormone receptor family,NR2 subfamily
A0A0S2Z4P3,,No SIMILARITY comment found,
A0A0S2Z4Q4,,No SIMILARITY comment found,
A0A0S2Z4Q8,,No SIMILARITY comment found,
A0A0S2Z4R1,,class-I aminoacyl-tRNA synthetase family,
A0A0S2Z4U3,,syndecan proteoglycan family,
A0A0S2Z4Y0,,No SIMILARITY comment found,
A0A0S2Z4Y8,,No SIMILARITY comment found,
A0A0S2Z4Z6,,No SIMILARITY comment found,
A0A0S2Z4Z9,,No SIMILARITY comment found,
A0A0S2Z505,,No SIMILARITY comment found,
A0A0S2Z507,,No SIMILARITY comment found,
A0A0S2Z515,,No SIMILARITY comment found,
A0A0S2Z528,,No SIMILARITY comment found,
A0A0S2Z545,,Mediator complex subunit 21 family,
A0A0S2Z547,,No SIMILARITY comment found,
A0A0S2Z551,,No SIMILARITY comment found,
A0A0S2Z576,,No SIMILARITY comment found,
A0A0S2Z596,,No SIMILARITY comment found,
A0A0S2Z5B2,,No SIMILARITY comment found,
A0A0S2Z5B5,,nucleoporin NSP1/NUP62 family,
A0A0S2Z5C1,,No SIMILARITY comment found,
A0A0S2Z5D3,,No SIMILARITY comment found,
A0A0S2Z5D5,,dynactin subunit 4 family,
A0A0S2Z5D8,,No SIMILARITY comment found,
A0A0S2Z5E1,,No SIMILARITY comment found,
A0A0S2Z5F2,,No SIMILARITY comment found,
A0A0S2Z5F8,,No SIMILARITY comment found,
A0A0S2Z5G4,,BANP/SMAR1 family,
A0A0S2Z5H0,,No SIMILARITY comment found,
A0A0S2Z5I3,,No SIMILARITY comment found,
A0A0S2Z5J4,,adaptor complexes large subunit family,
A0A0S2Z5K2,,No SIMILARITY comment found,
A0A0S2Z5K4,,chondroitin N-acetylgalactosaminyltransferase family,
A0A0S2Z5K8,,No SIMILARITY comment found,
A0A0S2Z5L1,ABC transporter superfamily,ABCF family,EF3 subfamily
A0A0S2Z5M8,,RNase Z family,
A0A0S2Z5Q7,,No SIMILARITY comment found,
A0A0S2Z5R8,,CD99 family,
A0A0S2Z5S9,,No SIMILARITY comment found,
A0A0S2Z5T9,,No SIMILARITY comment found,
A0A0S2Z5U6,,pyrroline-5-carboxylate reductase family,
A0A0S2Z5W7,,No SIMILARITY comment found,
A0A0S2Z5W9,TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily,Septin GTPase family,
A0A0S2Z5X4,,No SIMILARITY comment found,
A0A0S2Z5Y1,,polyprenol kinase family,
A0A0S2Z5Y6,,uridine kinase family,
A0A0S2Z5Y8,,No SIMILARITY comment found,
A0A0S2Z5Z3,,No SIMILARITY comment found,
A0A0S2Z5Z9,,No SIMILARITY comment found,
A0A0S2Z604,,COG7 family,
A0A0S2Z615,,No SIMILARITY comment found,
A0A0S2Z639,,No SIMILARITY comment found,
A0A0S2Z645,,No SIMILARITY comment found,
A0A0S2Z6A9,,No SIMILARITY comment found,
A0A0S2Z6B0,,No SIMILARITY comment found,
A0A0S2Z6F4,,No SIMILARITY comment found,
A0A0S2Z6H0,,No SIMILARITY comment found,
A0A0S2Z6I7,,No SIMILARITY comment found,
A0A0S2Z6M9,,Hyccin family,
A0A0S2Z6P0,,No SIMILARITY comment found,
A0A0S2Z6U5,,PNP/UDP phosphorylase family,
A0A0S2Z6X0,,No SIMILARITY comment found,
A0A0U1RQC9,,p53 family,
A0A0U1RQF7,,No SIMILARITY comment found,
A0A0U1RQK6,,No SIMILARITY comment found,
A0A0U1RQL8,,villin/gelsolin family,
A0A0U1RQQ9,protein kinase superfamily,,
A0A0U1RRE5,,No SIMILARITY comment found,
A0A0U1RRH7,,histone H2A family,
A0A0U1RRM6,,Ena/VASP family,
A0A0X1KG70,,G-protein coupled receptor 1 family,
A0A0X9T7T4,,No SIMILARITY comment found,
A0A109NGN6,,peptidase T1A family,
A0A140T8Z4,,No SIMILARITY comment found,
A0A140T983,,No SIMILARITY comment found,
A0A140T9U6,,No SIMILARITY comment found,
A0A140T9Z0,,UDP-glycosyltransferase family,
A0A140VJE8,,adaptor complexes large subunit family,
A0A140VJF4,,Gfo/Idh/MocA family,Biliverdin reductase subfamily
A0A140VJJ2,,esterase D family,
A0A140VJK1,,No SIMILARITY comment found,
A0A140VJL3,,purine/pyrimidine phosphoribosyltransferase family,
A0A140VJM4,,No SIMILARITY comment found,
A0A140VJP2,,dTDP-4-dehydrorhamnose reductase family,MAT2B subfamily
A0A140VJR2,,peptidase M24B family,Eukaryotic-type prolidase subfamily
A0A140VJS0,,PPP phosphatase family,
A0A140VJT0,,phosphatase 2A regulatory subunit B family,
A0A140VJT2,,proteasome inhibitor PI31 family,
A0A140VJT8,,No SIMILARITY comment found,
A0A140VJW5,,class-II aminoacyl-tRNA synthetase family,Type 2 subfamily
A0A140VJX1,thiolase-like superfamily,Thiolase family,
A0A140VJY2,,heat shock protein 90 family,
A0A140VJZ1,,peptidase C19 family,
A0A140VJZ4,,peptidase C12 family,
A0A140VK11,,No SIMILARITY comment found,
A0A140VK27,,peptidase M1 family,
A0A140VK41,,ribose-phosphate pyrophosphokinase family,
A0A140VK53,,CWC21 family,
A0A140VK56,,transaldolase family,Type 1 subfamily
A0A140VK69,,class-I pyridoxal-phosphate-dependent aminotransferase family,
A0A140VK70,,AAA ATPase family,
A0A140VK83,,SDS22 family,
A0A140VKA6,,FAM10 family,
A0A140VKE7,,heat shock protein 70 family,
A0A140VKF1,TRAFAC class myosin-kinesin ATPase superfamily,Kinesin family,
A0A142JA41,,MHC class I family,
A0A158RFU6,small GTPase superfamily,Rab family,
A0A158RFV5,,GAGE family,
A0A182DWE8,,No SIMILARITY comment found,
A0A183,,LCE family,
A0A183YE00,,tubulin family,
A0A1B0GUL2,,No SIMILARITY comment found,
A0A1B0GUL4,,FAM47 family,
A0A1B0GUV7,,No SIMILARITY comment found,
A0A1B0GVM0,,No SIMILARITY comment found,
A0A1B0GVS3,,actin family,
A0A1B0GW87,,No SIMILARITY comment found,
A0A1B0GWI1,,No SIMILARITY comment found,
A0A1C3PI11,,No SIMILARITY comment found,
A0A1C7CYX1,,No SIMILARITY comment found,
A0A1U9X7U3,,short-chain dehydrogenases/reductases (SDR) family,
A0A1U9X8P6,,No SIMILARITY comment found,
A0A1U9X8X8,,No SIMILARITY comment found,
A0A1V1IGJ9,,No SIMILARITY comment found,
A0A1W2PPU6,,CD36 family,
A0A1W2PQB1,,No SIMILARITY comment found,
A0A1W2PQS6,,Nudix hydrolase family,DIPP subfamily
A0A1W2PR06,amino acid-polyamine-organocation (APC) superfamily,3) family,
A0A286YEY3,,No SIMILARITY comment found,
A0A286YF81,,No SIMILARITY comment found,
A0A286YFD7,protein kinase superfamily,CMGC Ser/Thr protein kinase family,MAP kinase subfamily
A0A2K7P776,,NBPF family,
A0A2R8Y5B5,,48) family,
A0A2R8Y804,,beta-catenin family,
A0A2R8YCP0,,No SIMILARITY comment found,
A0A2R8YD28,protein kinase superfamily,CMGC Ser/Thr protein kinase family,CDC2/CDKX subfamily
A0A2R8YDT1,,glutamine synthetase family,
A0A2R8YHG5,,48) family,
A0A2U3TZM1,,MAGUK family,
A0A384DVV8,,No SIMILARITY comment found,
A0A384MDV8,,serpin family,
A0A384ME17,TRAFAC class translation factor GTPase superfamily,Classic translation factor GTPase family,EF-Tu/EF-1A subfamily
A0A384ME25,,No SIMILARITY comment found,
A0A384NQ31,,No SIMILARITY comment found,
A0A494C108,,KRI1 family,
A0A583ZBW7,,MHC class I family,
A0A583ZBW8,,MHC class I family,
A0A6Q8KRG2,,No SIMILARITY comment found,
A0A7P0TAB9,,No SIMILARITY comment found,
A0AUL9,,No SIMILARITY comment found,
A0AUZ9,,No SIMILARITY comment found,
A0AV02,,SLC12A transporter family,
A0AV96,,RRM RBM47 family,
A0AVF1,,IFT56 family,
A0AVG3,,No SIMILARITY comment found,
